                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8591,                 6.3907,                 2.2327,                0.02193,                0.10909,                0.02565,                0.01338,                 1.6901,                 6.4979,                  2.771,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.6427,                 3.5079,                 2.0098,                0.34034,                0.16106,                0.10393,                0.04822,                 1.8035,                 4.0772,                 2.7197,               0.059322,              0.0043218,              0.0043218
                      2,                 1.5604,                 2.9163,                 1.8503,                 0.2357,                0.20284,                0.17229,                0.11009,                 1.8229,                 3.1219,                 2.5107,               0.038261,              0.0062614,              0.0062614
                      3,                 1.4663,                 2.6159,                 1.7712,                0.52135,                0.07417,                0.08889,                0.04374,                 2.4275,                 3.0678,                 2.9347,               0.017019,              0.0080189,              0.0080189
                      4,                 1.5343,                 2.6105,                 1.8116,                0.25058,                0.23254,                0.17156,                0.07571,                 2.2162,                 2.8017,                 2.7819,               0.008416,               0.008416,               0.008416
                      5,                 1.4693,                 2.4349,                 1.7679,                0.21532,                0.35335,                  0.209,                0.10947,                 2.0949,                 2.8798,                 2.6282,               0.008416,               0.008416,               0.008416
                      6,                 1.4693,                 2.3443,                 1.7656,                0.15681,                0.24501,                0.16165,                0.09099,                 1.9258,                 2.7758,                 2.6432,                0.00802,                0.00802,                0.00802
                      7,                  1.491,                 2.3161,                 1.7817,                0.21862,                0.41616,                 0.2739,                0.12556,                 2.2435,                 2.7944,                 3.0344,               0.007624,               0.007624,               0.007624
                      8,                 1.4649,                 2.2471,                 1.7742,                0.21024,                0.41408,                0.25543,                0.11874,                 2.1318,                 2.7222,                 3.1391,               0.007228,               0.007228,               0.007228
                      9,                 1.4869,                 2.2384,                 1.7479,                0.48877,                0.23538,                0.27836,                0.13016,                 1.9691,                  2.704,                 2.6856,               0.006832,               0.006832,               0.006832
                     10,                 1.4551,                 2.1293,                 1.7363,                0.26408,                0.42626,                0.31276,                0.16947,                  1.863,                 2.3749,                 2.5384,               0.006436,               0.006436,               0.006436
                     11,                 1.4407,                 2.0393,                 1.7153,                0.26383,                0.47373,                0.34977,                0.19953,                 1.8064,                 2.3495,                 2.4711,                0.00604,                0.00604,                0.00604
                     12,                 1.4489,                 2.0642,                  1.721,                 0.3633,                0.45249,                0.38841,                0.20951,                  1.692,                 2.2076,                 2.4371,               0.005644,               0.005644,               0.005644
                     13,                   1.41,                 2.0405,                 1.7063,                0.31909,                0.45333,                0.39418,                0.22654,                 1.6941,                 2.1456,                 2.4445,               0.005248,               0.005248,               0.005248
                     14,                 1.3708,                 1.9242,                 1.6897,                0.33193,                0.39321,                0.33308,                 0.1768,                 1.8606,                 2.3942,                 2.6177,               0.004852,               0.004852,               0.004852
                     15,                 1.4256,                 1.9689,                 2.0244,                0.26006,                0.38782,                0.26082,                0.14272,                 1.8173,                 2.4204,                 2.7202,               0.004456,               0.004456,               0.004456
                     16,                 1.4106,                 1.7985,                 1.9698,                0.29131,                0.58626,                0.38086,                0.20362,                 1.7625,                 1.9787,                 2.5511,                0.00406,                0.00406,                0.00406
                     17,                 1.3912,                 1.7203,                 1.9824,                0.34474,                0.40702,                0.34777,                0.19731,                 1.7185,                  2.052,                 2.4638,               0.003664,               0.003664,               0.003664
                     18,                 1.3423,                   1.74,                 1.9221,                0.27782,                0.50922,                0.38773,                0.22764,                   1.63,                 2.0438,                 2.3556,               0.003268,               0.003268,               0.003268
                     19,                 1.3117,                 1.6482,                 1.9098,                0.34521,                0.50976,                0.41587,                 0.2287,                 1.7141,                 2.0035,                 2.3992,               0.002872,               0.002872,               0.002872
                     20,                 1.3278,                 1.5514,                 1.8817,                0.37244,                 0.4656,                0.40956,                0.23801,                  1.628,                 2.0579,                 2.3238,               0.002476,               0.002476,               0.002476
                     21,                 1.2503,                 1.4971,                 1.8074,                0.31452,                0.46461,                0.40163,                0.23685,                 1.5765,                 2.0593,                 2.2845,                0.00208,                0.00208,                0.00208
                     22,                 1.2581,                 1.5393,                 1.8224,                0.35593,                0.51086,                0.43347,                0.26622,                 1.5797,                 1.9268,                 2.2529,               0.001684,               0.001684,               0.001684
                     23,                 1.1939,                 1.3609,                 1.7631,                0.39079,                0.48159,                 0.3981,                0.24403,                 1.6422,                 2.0281,                 2.2778,               0.001288,               0.001288,               0.001288
                     24,                 1.1557,                 1.3343,                 1.7206,                0.42857,                0.42794,                0.43448,                0.25685,                 1.6448,                 1.9531,                  2.262,               0.000892,               0.000892,               0.000892
