                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1239,                 4.7107,                  4.224,                0.00071,                0.34697,                0.00114,                0.00042,                  2.479,                 3.9371,                 4.1428,                 0.0802,                 0.0022,                 0.0022
                      1,                 3.1101,                 4.6711,                 4.2236,                0.00043,                0.30909,                0.00053,                0.00023,                 2.4913,                 3.9397,                 4.1266,               0.059322,              0.0043218,              0.0043218
                      2,                 3.1108,                  4.661,                 4.1768,                0.00044,                0.30909,                0.00071,                0.00032,                 2.5084,                 3.9412,                 4.1067,               0.038261,              0.0062614,              0.0062614
                      3,                 3.1677,                 4.6195,                 4.1291,                0.00066,                0.35545,                0.00076,                0.00027,                 2.5332,                 3.9437,                 4.0848,               0.017019,              0.0080189,              0.0080189
                      4,                 3.1636,                 4.5995,                 4.0995,                0.00053,                0.35455,                0.00079,                 0.0003,                 2.5439,                 3.9446,                 4.0697,               0.008416,               0.008416,               0.008416
                      5,                 3.1403,                 4.5968,                 4.0604,                0.00262,                0.47937,                0.00326,                0.00088,                 2.5843,                 5.6158,                 4.3122,               0.008416,               0.008416,               0.008416
                      6,                 3.1122,                 4.5771,                 4.0114,                0.54191,                0.01818,                0.01255,                0.00161,                 2.8479,                 42.479,                 4.7813,                0.00802,                0.00802,                0.00802
                      7,                 3.1376,                 4.6014,                 3.9725,                0.41395,                0.00909,                0.00694,                0.00143,                 2.6889,                 4.5695,                 4.0751,               0.007624,               0.007624,               0.007624
                      8,                 3.1412,                 4.5476,                 3.9041,                0.00302,                0.32345,                0.00465,                0.00118,                 2.9425,                 4.3682,                  3.914,               0.007228,               0.007228,               0.007228
                      9,                 3.0473,                 4.5509,                 3.8053,                0.00691,                0.31333,                0.01863,                0.00417,                  3.015,                 4.7344,                 3.8066,               0.006832,               0.006832,               0.006832
                     10,                 3.1335,                 4.5262,                 3.7155,                 0.0027,                0.33182,                0.01238,                0.00557,                 3.1013,                  4.593,                 3.8343,               0.006436,               0.006436,               0.006436
                     11,                 3.0492,                 4.4971,                 3.6327,                0.00306,                0.39114,                0.01424,                0.00207,                 2.7747,                 4.4282,                 3.8471,                0.00604,                0.00604,                0.00604
                     12,                  3.072,                 4.5294,                 3.5848,                0.82739,                0.00909,                0.00852,                0.00202,                 2.8371,                  5.016,                 4.0872,               0.005644,               0.005644,               0.005644
                     13,                 3.0099,                 4.5233,                 3.5506,                0.00219,                0.50452,                0.00437,                0.00125,                 2.8751,                 5.3303,                 3.9663,               0.005248,               0.005248,               0.005248
                     14,                 2.9329,                 4.4835,                  3.462,                0.00189,                0.40296,                 0.0045,                0.00109,                 2.9518,                 4.2231,                 3.7633,               0.004852,               0.004852,               0.004852
                     15,                 2.8274,                 4.9674,                 3.5592,                0.00198,                0.43497,                0.00537,                0.00098,                   2.91,                 4.5606,                 3.6136,               0.004456,               0.004456,               0.004456
                     16,                 2.6773,                 4.8044,                 3.4841,                0.91556,                0.00909,                0.01548,                0.00495,                 2.7545,                 3.9639,                 3.5282,                0.00406,                0.00406,                0.00406
                     17,                 2.6483,                 4.7571,                  3.464,                0.00297,                0.65744,                0.01248,                0.00409,                 2.6062,                  3.888,                 3.3947,               0.003664,               0.003664,               0.003664
                     18,                 2.5842,                 4.5928,                 3.3646,                0.00303,                0.66501,                0.02867,                0.00902,                 2.5133,                 3.8458,                 3.3483,               0.003268,               0.003268,               0.003268
                     19,                 2.5241,                 4.5547,                 3.3368,                0.00332,                0.67233,                0.02495,                0.00871,                 2.4523,                   3.81,                  3.265,               0.002872,               0.002872,               0.002872
                     20,                 2.5228,                 4.4843,                 3.3229,                0.00396,                0.67755,                0.04846,                0.01924,                 2.4743,                 3.7262,                 3.2678,               0.002476,               0.002476,               0.002476
                     21,                 2.4783,                 4.4131,                 3.2983,                0.00319,                0.66604,                0.04029,                0.01543,                 2.3494,                 3.7584,                 3.1757,                0.00208,                0.00208,                0.00208
                     22,                 2.4728,                 4.3768,                 3.2379,                 0.0034,                0.66427,                0.05824,                0.02607,                  2.313,                 3.7062,                 3.1673,               0.001684,               0.001684,               0.001684
                     23,                 2.4445,                 4.3369,                 3.2511,                0.00318,                0.69154,                0.04391,                0.01572,                 2.3259,                 3.7247,                 3.1711,               0.001288,               0.001288,               0.001288
                     24,                 2.4309,                 4.3534,                 3.2356,                0.00308,                0.69154,                0.04719,                0.01421,                 2.3298,                 3.7145,                 3.1675,               0.000892,               0.000892,               0.000892
