                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97332,                 3.4025,                 1.5529,                0.60447,                0.87879,                0.88801,                0.64048,                 1.3821,                 1.3312,                 1.2463,                      0,                      0,                      0
                      2,                0.90133,                 3.2585,                 1.3508,                 0.5841,                0.88383,                0.88825,                0.63551,                 1.3986,                 1.3529,                 1.2467,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.91147,                 2.7573,                 1.3127,                0.56883,                0.86585,                0.87418,                0.60771,                 1.4365,                   1.36,                 1.2668,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2095,                  3.671,                 1.6497,                0.55735,                0.83333,                0.83341,                0.60359,                 1.4537,                 1.3997,                 1.2739,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.59339,                 2.8087,                 1.1969,                 0.5868,                0.83333,                0.83124,                0.62145,                  1.471,                 1.4466,                 1.2916,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0857,                 3.5175,                 1.4624,                0.52916,                0.76277,                0.83131,                0.56776,                 1.4875,                 1.4803,                 1.3014,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1861,                 2.6891,                   1.35,                0.83141,                0.56667,                0.85878,                0.57919,                 1.4994,                 1.5324,                 1.3086,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5534,                 3.2527,                 1.8159,                0.82537,                0.56667,                 0.8587,                0.55416,                 1.5178,                 1.6138,                 1.3309,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1969,                  2.835,                 1.5711,                0.81973,                0.57869,                0.76945,                0.54503,                 1.5325,                 1.6843,                 1.3408,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.0306,                 2.7556,                 1.3543,                0.78461,                0.56667,                0.76782,                0.53985,                 1.5238,                 1.7131,                 1.3399,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0217,                 2.8603,                 1.2929,                0.78582,                0.58333,                0.74463,                0.53279,                 1.5198,                 1.7567,                 1.3417,             1.0722e-05,             1.0722e-05,             1.0722e-05
